Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2000","2000","indice","1.76","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2002","2002","indice","1.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2003","2003","indice","1.16","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2004","2004","indice","1.02","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2005","2005","indice","0.99","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2006","2006","indice","0.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2007","2007","indice","0.78","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2008","2008","indice","0.86","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2009","2009","indice","0.95","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2010","2010","indice","0.94","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","150","Pays-Bas (Royaume des)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2011","2011","indice","1.11","X","Ciffre de sources internationales",""
